trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-142.37022935772748,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-68.7414958554525,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-121.48990200194582,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-146.61000809094432,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-0.20209050627327896,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-103.0309573823978,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,1,-165.4387800273139,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-125.98374801765607,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-88.01123234510632,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-70.6275253372761,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-74.72451463470499,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,-77.17606794135864,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,4.113666328171934,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-97.75986450082787,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-10.54678536990915,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-88.39881558533277,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,10,-27.93122745401501,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-22.554161431924214,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-48.51949795004584,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,18.531453593861695,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,2,26.837480492019914,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-46.84042096480367,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,26.378407563550685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,21.531312949205034,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-75.55460303671447,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-19.239576874593705,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,2,-1.9306687002761553,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,15.32168117867582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,12,7.0705299343388885,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,14,-18.448581919072545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
