trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 198.0}",30,6,-193.12211817389283,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 3}",1
2,False,"{'a': 0.99, 'e': 196.02}",30,17,-53.523404527861,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.99, 'e': 194.0598}",30,0,-138.92371876002062,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.99, 'e': 192.119202}",25,0,-142.6110815292023,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.99, 'e': 190.19800998}",25,0,-156.53390084305465,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.99, 'e': 188.2960298802}",20,0,-193.35246765834196,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.99, 'e': 186.413069581398}",20,0,-126.2851392019439,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.99, 'e': 184.54893888558402}",30,0,-74.03995276471429,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.99, 'e': 182.70344949672818}",25,0,-125.96489490041726,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 180.8764150017609}",20,0,-103.34543489861548,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.99, 'e': 179.06765085174328}",20,0,-124.65209024605358,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.99, 'e': 177.27697434322585}",35,0,-227.31369546611674,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.99, 'e': 175.50420459979358}",25,0,-61.04933114743044,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.99, 'e': 173.74916255379566}",25,0,-144.75821155754085,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.99, 'e': 172.0116709282577}",35,0,-187.89467475885434,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.99, 'e': 170.2915542189751}",25,0,-134.66285372602303,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.99, 'e': 168.58863867678537}",30,0,-203.34707513706275,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
18,False,"{'a': 0.99, 'e': 166.9027522900175}",20,0,-56.25160782836966,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.99, 'e': 165.23372476711734}",30,0,-113.91489062240144,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.99, 'e': 163.58138751944617}",20,0,-100.80064796847591,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.99, 'e': 161.9455736442517}",25,17,-4.820943078710284,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.99, 'e': 160.3261179078092}",25,0,-129.10429129953084,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.99, 'e': 158.7228567287311}",30,0,-130.70159873360447,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
24,False,"{'a': 0.99, 'e': 157.13562816144378}",20,0,-148.64046542632644,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.99, 'e': 155.56427187982933}",20,0,-111.99601191187138,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.99, 'e': 154.00862916103105}",20,0,-101.97810782572512,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.99, 'e': 152.46854286942073}",30,17,-85.75470760191175,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 1}",1
28,False,"{'a': 0.99, 'e': 150.94385744072653}",35,0,-201.095508270882,"{0: 14, 1: 8, 2: 11, 3: 1, 4: 1}",0
29,False,"{'a': 0.99, 'e': 149.43441886631928}",30,0,-96.64993936663963,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.99, 'e': 147.94007467765607}",25,0,-86.71754691183351,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
