trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-30.60268040096804,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.79540720687129,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.69411882939617,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.51395766903628,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.11637503005154,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.86732335941772,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.16474394213587,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-156.86392761002017,"{0: 16, 1: 11, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.91985280809996,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.19109198864075,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,5,-83.25948430415916,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.5831603051628,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.93973919986757,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.68528699040279,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.59711541441604,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.40710739303064,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,11,-0.1524373518026163,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.85998797882513,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.44368590383473,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.93378688127693,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.19766530811833,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.07266964194652,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.62229621345065,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.10102199310403,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-61.53763281222095,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.8501050001315,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.05516769498367,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.69649814369251,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.43763788092484,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.28769929038445,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
